LeadTime,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,DepositType,Agent,Company,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ChangedRoom,StayChanges,ReservationMonth
16.0,August,2,2,2.0,0.0,0.0,BB,Spain,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,62.0,0,0,Check-Out,1,No Changes,July
56.0,March,0,3,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,85.0,0,0,Canceled,0,No Changes,January
5.0,May,0,1,2.0,0.0,0.0,BB,National,Groups,Corporate,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,90.0,0,0,Canceled,0,No Changes,May
503.0,November,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,62.8,0,0,Canceled,0,No Changes,July
214.0,October,0,2,3.0,0.0,0.0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,105.4,0,0,Check-Out,0,No Changes,March
0.0,April,0,1,2.0,0.0,0.0,BB,Germany,Direct,Direct,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient,99.0,0,0,Check-Out,0,No Changes,April
182.0,April,0,4,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,other_Agent,no_Company,Transient,75.0,0,0,Canceled,0,No Changes,October
23.0,February,0,0,2.0,0.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,0.0,0,1,Check-Out,0,No Changes,January
26.0,October,2,1,2.0,1.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient,161.0,0,0,Check-Out,1,No Changes,September
559.0,January,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,62.0,0,0,Canceled,0,No Changes,July
73.0,October,0,1,2.0,0.0,0.0,BB,Germany,Offline TA/TO,TA/TO,0,0,1-2,A,0,No Deposit,other_Agent,no_Company,Transient-Party,73.0,0,0,Check-Out,0,No Changes,August
60.0,March,0,1,3.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,123.3,0,1,Canceled,0,No Changes,January
59.0,October,0,2,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Contract,89.25,0,2+,Canceled,0,No Changes,August
192.0,July,2,3,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,99.45,0,0,Canceled,0,No Changes,January
42.0,March,0,3,2.0,0.0,0.0,BB,Other_Europe,Direct,Direct,0,0,0,Other,0,No Deposit,no_Agent,no_Company,Transient-Party,71.1,0,1,Check-Out,0,No Changes,February
14.0,February,0,2,1.0,0.0,0.0,BB,Other_Asia,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,85.0,0,0,Canceled,0,No Changes,February
31.0,July,0,2,2.0,1.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,152.1,0,2+,Canceled,0,No Changes,June
479.0,August,0,3,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,112.67,0,0,Canceled,0,No Changes,April
232.0,May,2,2,3.0,0.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,166.0,0,0,Canceled,0,No Changes,September
1.0,February,0,1,2.0,0.0,0.0,BB,National,Direct,Direct,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient,98.0,0,1,Check-Out,0,No Changes,February
12.0,January,2,5,1.0,0.0,0.0,BB,United_Kingdom,Direct,Direct,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient,76.5,0,0,Check-Out,0,No Changes,January
52.0,May,1,2,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,116.1,0,2+,Check-Out,0,No Changes,March
44.0,September,0,2,2.0,0.0,0.0,HB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,126.0,0,0,Canceled,0,No Changes,July
29.0,May,0,1,2.0,0.0,0.0,BB,Other_Asia,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,156.0,0,0,Canceled,0,No Changes,April
134.0,August,0,2,2.0,1.0,0.0,BB,Other_Asia,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,162.5,0,1,Canceled,0,No Changes,April
46.0,November,0,2,2.0,1.0,0.0,BB,France,Online TA,TA/TO,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,156.6,0,0,Check-Out,0,No Changes,October
5.0,July,0,1,2.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,151.0,0,0,Canceled,0,No Changes,July
75.0,October,2,5,2.0,1.0,0.0,BB,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,135.0,0,2+,Canceled,0,No Changes,July
20.0,June,0,1,2.0,0.0,0.0,BB,National,Corporate,Corporate,0,0,0,A,0,No Deposit,no_Agent,other_Company,Transient,95.0,0,2+,No-Show,0,No Changes,June
44.0,April,0,3,2.0,0.0,0.0,BB,Other_Europe,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,133.33,0,1,Check-Out,0,No Changes,March
76.0,January,2,2,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,75.86,0,1,Check-Out,0,No Changes,October
197.0,October,2,1,2.0,0.0,0.0,SC,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,82.5,0,0,Canceled,0,No Changes,April
81.0,April,2,3,2.0,0.0,0.0,HB,Other_Europe,Online TA,TA/TO,0,0,0,D,1,No Deposit,other_Agent,no_Company,Transient,110.16,0,0,Canceled,0,No Changes,February
116.0,September,0,2,2.0,1.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,216.45,0,0,Canceled,0,No Changes,June
104.0,August,1,3,2.0,0.0,0.0,SC,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,125.0,0,1,Check-Out,0,No Changes,April
0.0,March,0,4,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,91.8,0,2+,Check-Out,0,No Changes,March
304.0,November,0,3,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,89.0,0,0,Canceled,0,No Changes,January
263.0,October,0,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,110.0,0,0,Canceled,0,No Changes,February
0.0,August,1,0,3.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,2+,No Deposit,other_Agent,no_Company,Transient,98.0,0,1,Check-Out,1,No Changes,August
112.0,August,0,3,2.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,155.0,0,0,Check-Out,0,No Changes,April
64.0,May,0,2,1.0,0.0,0.0,BB,Germany,Corporate,TA/TO,0,0,0,A,0,No Deposit,no_Agent,other_Company,Transient-Party,130.0,0,0,Check-Out,0,No Changes,March
2.0,September,0,1,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,210.0,0,2+,Check-Out,1,No Changes,September
221.0,August,0,1,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,80.0,0,0,Canceled,0,No Changes,January
28.0,October,1,3,2.0,0.0,0.0,BB,France,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,75.0,0,0,Check-Out,0,No Changes,September
42.0,March,2,2,3.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,125.8,0,0,Canceled,0,No Changes,February
82.0,March,0,1,1.0,0.0,0.0,SC,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,70.2,0,2+,Check-Out,0,No Changes,January
267.0,March,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,62.0,0,0,Canceled,0,No Changes,July
245.0,April,0,3,2.0,0.0,0.0,SC,Other_Asia,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,99.0,0,1,Canceled,0,No Changes,August
70.0,July,2,2,3.0,0.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,197.5,0,1,Check-Out,0,No Changes,May
188.0,June,0,2,1.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,130.0,0,0,Canceled,0,No Changes,December
292.0,July,0,2,2.0,0.0,0.0,HB,Germany,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,115.0,0,0,Check-Out,0,No Changes,October
16.0,September,1,1,2.0,1.0,0.0,BB,Spain,Direct,Direct,0,0,0,Other,0,No Deposit,no_Agent,no_Company,Transient,185.0,0,2+,Check-Out,0,No Changes,August
39.0,December,0,1,2.0,0.0,0.0,BB,Other_Americas,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,65.0,0,1,Check-Out,0,No Changes,November
262.0,July,1,1,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,No Deposit,other_Agent,no_Company,Contract,62.0,0,0,Canceled,0,No Changes,October
8.0,December,0,1,2.0,0.0,1.0,FB,Other_Americas,Direct,Direct,0,0,0,D,0,No Deposit,no_Agent,no_Company,Transient,215.5,0,2+,Check-Out,0,No Changes,December
116.0,March,0,2,2.0,0.0,0.0,BB,France,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,100.0,0,1,Check-Out,0,No Changes,November
211.0,May,0,3,2.0,0.0,0.0,HB,National,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,other_Agent,no_Company,Transient,115.0,0,0,Canceled,0,No Changes,November
1.0,September,0,2,3.0,0.0,0.0,BB,Other_Asia,Online TA,TA/TO,0,0,0,D,1,No Deposit,other_Agent,no_Company,Contract,209.5,0,0,Check-Out,1,No Changes,September
504.0,August,2,1,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,90.0,0,0,Canceled,0,No Changes,March
90.0,September,0,1,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,167.4,1,2+,Check-Out,1,No Changes,June
104.0,August,2,1,2.0,0.0,0.0,HB,Spain,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,90.0,0,0,Canceled,0,No Changes,May
0.0,May,0,4,2.0,1.0,0.0,BB,France,Online TA,TA/TO,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,221.0,0,1,Check-Out,0,No Changes,May
53.0,June,1,2,2.0,0.0,0.0,SC,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,101.1,0,0,Canceled,0,No Changes,May
70.0,April,1,3,2.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,90.95,0,2+,Check-Out,0,No Changes,January
275.0,October,1,4,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,90.0,0,0,Canceled,0,No Changes,January
198.0,December,2,1,2.0,0.0,0.0,HB,Spain,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,90.0,0,0,Canceled,0,No Changes,May
115.0,September,0,4,2.0,0.0,0.0,BB,Other_Europe,Direct,Direct,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,118.8,0,0,Check-Out,0,No Changes,May
233.0,June,1,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,105.0,0,0,Canceled,0,No Changes,November
25.0,February,2,3,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,91.8,0,2+,Check-Out,0,No Changes,January
238.0,October,0,3,2.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,140.4,0,0,Canceled,0,No Changes,February
125.0,August,2,6+,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,110.93,0,1,Check-Out,0,No Changes,March
72.0,September,0,1,2.0,0.0,0.0,HB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,108.0,0,0,Check-Out,0,No Changes,July
11.0,July,0,1,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,98.0,0,1,Canceled,0,No Changes,July
51.0,March,3+,6+,2.0,1.0,0.0,BB,Other_Asia,Online TA,TA/TO,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,202.71,0,0,Canceled,0,No Changes,January
29.0,September,2,4,1.0,0.0,0.0,BB,Other_Africa,Direct,Direct,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient,170.0,0,1,Check-Out,1,No Changes,August
30.0,July,0,1,2.0,0.0,0.0,SC,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,125.1,0,1,Check-Out,0,No Changes,June
4.0,October,0,0,2.0,0.0,0.0,BB,National,Direct,Direct,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,0.0,0,1,Check-Out,0,No Changes,October
53.0,June,1,2,2.0,0.0,0.0,BB,France,Direct,Direct,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,124.5,0,0,Check-Out,0,No Changes,May
202.0,October,2,1,2.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,109.8,0,0,Canceled,0,No Changes,April
79.0,November,0,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,75.0,0,0,Canceled,0,No Changes,August
0.0,June,0,2,2.0,0.0,0.0,SC,National,Direct,Direct,0,0,0,A,1,No Deposit,no_Agent,no_Company,Transient,160.0,0,0,Check-Out,0,No Changes,June
3.0,April,0,1,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,110.0,1,0,Check-Out,0,No Changes,April
50.0,December,0,3,2.0,0.0,0.0,BB,Other_Europe,Direct,Direct,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,79.2,0,0,Canceled,0,No Changes,October
34.0,October,1,0,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,76.5,0,0,Check-Out,0,No Changes,September
0.0,August,0,1,2.0,0.0,0.0,BB,France,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,124.0,0,0,Check-Out,0,No Changes,August
204.0,May,0,3,1.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,90.0,0,0,Canceled,0,No Changes,October
281.0,June,0,3,2.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,130.0,0,1,Canceled,0,No Changes,September
6.0,April,0,1,1.0,0.0,0.0,BB,National,Direct,Direct,1,0,3+,A,0,No Deposit,no_Agent,no_Company,Transient,135.0,0,2+,Check-Out,1,No Changes,April
6.0,August,0,3,2.0,0.0,0.0,HB,National,Direct,Direct,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient,179.0,0,0,Check-Out,0,No Changes,August
20.0,July,0,2,3.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,84.0,0,0,Check-Out,0,No Changes,July
4.0,February,0,2,1.0,0.0,0.0,BB,Germany,Direct,Direct,0,0,0,A,1,No Deposit,no_Agent,no_Company,Transient,80.0,0,0,Check-Out,0,No Changes,February
57.0,September,0,3,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,124.2,0,0,Canceled,0,No Changes,July
36.0,April,0,3,2.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,113.1,0,0,Canceled,0,No Changes,March
17.0,March,2,5,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient-Party,75.0,0,1,Check-Out,0,No Changes,March
76.0,October,0,1,3.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,151.2,0,1,Canceled,0,No Changes,August
4.0,February,1,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,1,0,1-2,A,0,No Deposit,other_Agent,no_Company,Group,71.67,0,1,Check-Out,0,No Changes,February
78.0,October,1,2,3.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,151.2,0,2+,Check-Out,0,No Changes,July
15.0,November,1,3,2.0,0.0,0.0,BB,National,Direct,Direct,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient,98.75,0,0,Check-Out,0,No Changes,November
105.0,October,1,2,2.0,0.0,0.0,HB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,110.0,0,0,Canceled,0,No Changes,June
65.0,April,2,2,2.0,0.0,0.0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,89.1,0,0,Check-Out,0,No Changes,February
98.0,November,1,2,1.0,0.0,0.0,FB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,84.0,0,0,Canceled,0,No Changes,August
174.0,July,0,1,1.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,75.6,0,0,Canceled,0,No Changes,February
0.0,September,0,1,2.0,0.0,0.0,SC,National,Online TA,TA/TO,0,0,0,D,1,No Deposit,other_Agent,no_Company,Contract,115.0,0,2+,Check-Out,0,No Changes,September
25.0,June,0,1,2.0,0.0,0.0,BB,Other_Europe,Corporate,Corporate,0,0,0,A,0,No Deposit,no_Agent,other_Company,Transient-Party,100.0,0,0,Check-Out,0,No Changes,June
3.0,December,1,1,2.0,0.0,0.0,SC,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,79.5,0,2+,Check-Out,0,No Changes,December
125.0,August,0,4,2.0,0.0,0.0,BB,Other_Americas,Direct,Direct,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient-Party,112.5,0,2+,Check-Out,0,No Changes,April
138.0,August,0,3,3.0,0.0,0.0,BB,Other_Oceania,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,195.0,0,0,Canceled,0,No Changes,April
35.0,March,2,3,2.0,0.0,1.0,BB,Other_Europe,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient,68.0,0,0,Check-Out,0,No Changes,January
2.0,January,0,1,2.0,1.0,0.0,HB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,135.0,0,0,Check-Out,0,No Changes,January
61.0,November,2,1,3.0,0.0,0.0,BB,United_Kingdom,Offline TA/TO,TA/TO,0,0,0,D,1,No Deposit,other_Agent,no_Company,Transient,90.0,0,0,Check-Out,0,No Changes,September
